spacing_nm,water_area_per_pore_nm2,aeff_end_on_mean_nm2,aeff_end_on_best_nm2,aeff_3d_best_nm2,aeff_3d_random_mean_nm2,p_random_positive,alpha_end_on_mean,alpha_end_on_best,alpha_3d_best,alpha_3d_random_mean
47.3850592,234.16678404475303,2.906365203182211,6.477774758906896,6.477774758906896,1.009020610978419,0.4326,0.012411517777972978,0.027663081189469165,0.027663081189469165,0.004308982655651021
47.5563488,235.0132604541845,2.7702831650214566,6.330390915803804,6.330390915803804,0.9481171225798402,0.412,0.011787773845899727,0.026936313736381293,0.026936313736381293,0.004034313301077214
47.727638400000004,235.85973686361592,2.636754505624848,6.178143853939769,6.178143853939769,0.888703308323428,0.3952,0.011179332855567168,0.026194143757195122,0.026194143757195122,0.003767931399148952
47.898928000000005,236.70621327304735,2.5058893996119207,6.0209765787102,6.0209765787102,0.8308916643363442,0.376,0.010586496082894562,0.025436495711098347,0.025436495711098347,0.0035102232968337297
48.07021760000001,237.55268968247884,2.37723059594601,5.858832202149313,5.858832202149313,0.7747538406710159,0.3572,0.010007171878893472,0.02466329558288913,0.02466329558288913,0.0032613978890602283
48.2415072,238.39916609191027,2.250446983239743,5.691654051697495,5.691654051697495,0.7206025620798069,0.3378,0.009439827412702132,0.023874471312131964,0.023874471312131964,0.0030226723268066812
48.4127968,239.2456425013417,2.1254622257904967,5.51938579411727,5.519385794117271,0.6680479364995312,0.3212,0.008884016459269794,0.023069953276521296,0.0230699532765213,0.002792309734526449
48.584086400000004,240.0921189107731,2.0022162379532342,5.341971576554038,5.341971576554036,0.6171197539494456,0.3064,0.008339366769041387,0.022249674836429378,0.022249674836429367,0.00257034573541662
48.755376000000005,240.93859532020454,1.8806752312333164,5.159356187018441,5.159356187018422,0.5677928041655521,0.2882,0.00780562046829368,0.021413572948583506,0.02141357294858343,0.002356587176956694
48.9266656,241.785071729636,1.7611194493932616,4.971485236896149,4.971485236896155,0.5201666385665205,0.2732,0.007283822101980493,0.02056158885795589,0.020561588857955913,0.002151359613914339
49.0979552,242.6315481390674,1.643496006258511,4.778305368467702,4.778305368467701,0.4744552396325944,0.257,0.006773628651606839,0.0196936688782489,0.019693668878248898,0.0019554556827896686
49.2692448,243.47802454849884,1.52771143988294,4.579764490861575,4.579764490861576,0.4307477690905052,0.24,0.00627453521818201,0.01880976527287917,0.018809765272879173,0.0017691443401895344
49.440534400000004,244.32450095793033,1.41382147308155,4.3758120483748,4.375812048374798,0.38897618203680884,0.2244,0.005786654500626577,0.017909837250126057,0.01790983725012605,0.0015920473817064534
49.611824,245.1709773673617,1.301913663600727,4.166399325691368,4.16639932569137,0.348819791248203,0.2118,0.005310227489324532,0.016993852088163265,0.016993852088163272,0.001422761352072823
49.7831136,246.0174537767932,1.192112942605654,3.9514797952262692,3.9514797952262692,0.3105791880196907,0.197,0.00484564377162945,0.016061786408095132,0.016061786408095132,0.001262427454848277
49.9544032,246.86393018622462,1.084557862660851,3.731009512638906,3.731009512638906,0.2742129769514205,0.1832,0.004393342769203676,0.015113627615927432,0.015113627615927432,0.001110785916535335
50.1256928,247.71040659565605,0.9794391039918294,3.5049475675185233,3.504947567518524,0.23973058414647394,0.1708,0.003953968335252836,0.014149375537700916,0.014149375537700919,0.000967785679419566
50.296982400000005,248.5568830050875,0.876954497297126,3.2732565973737944,3.2732565973737953,0.20714686136194083,0.1574,0.00352818432020318,0.013169044275900404,0.013169044275900408,0.0008333982099288753
50.468272,249.40335941451892,0.777359821554809,3.035903374390796,3.035903374390794,0.1766732338679225,0.143,0.003116877909662813,0.012172664319829775,0.012172664319829768,0.0007083835369446011
50.6395616,250.24983582395035,0.680918966491735,2.7928594760027834,2.7928594760027834,0.14825793872761078,0.1316,0.002720956696134492,0.011160284948069048,0.011160284948069048,0.0005924397042638205
50.8108512,251.09631223338175,0.5879566475155715,2.5441020521878555,2.5441020521878555,0.12178709261968852,0.1192,0.002341558274137832,0.01013197696755991,0.01013197696755991,0.00048502143076674647
50.9821408,251.94278864281327,0.49880914200252924,2.289614704642826,2.2896147046428186,0.09755824239632814,0.1058,0.001979850841095935,0.009087835841528611,0.009087835841528582,0.00038722379363133645
51.153430400000005,252.7892650522447,0.4138748729262534,2.0293884956476727,2.0293884956476727,0.07585937029438533,0.0934,0.0016372327869251754,0.008027985267603246,0.008027985267603246,0.00030008936605242017
51.32472,253.6357414616761,0.3335723297157169,1.7634231076299152,1.7634231076299156,0.056545728292212105,0.0786,0.0013151629490125273,0.006952581278440859,0.006952581278440861,0.00022294069426629314
51.4960096,254.48221787110754,0.2583739331327144,1.491728178282631,1.4917281782826313,0.040391470881204976,0.062,0.0010152926805423316,0.005861816950362225,0.005861816950362226,0.00015872020929046923
51.6672992,255.328694280539,0.1887959631290181,1.2143248407285654,1.2143248407285765,0.027146818384522216,0.051,0.0007394232115626654,0.004755927821392225,0.0047559278213922685,0.00010632106376064028
51.838588800000004,256.1751706899704,0.12659112315606885,0.9312475038435338,0.9312475038435342,0.016207686463513653,0.0408,0.0004941584417221784,0.003635198139364384,0.003635198139364385,6.326798346561307e-05
52.009878400000005,257.0216470994019,0.07222056880535309,0.6425459146900799,0.6425459146900804,0.007674568550917962,0.0274,0.0002809902186076262,0.002499968084172997,0.002499968084172999,2.9859619364861742e-05
52.181168,257.86812350883326,0.02893431567323872,0.3482875533606631,0.3482875533606628,0.0020573240396481564,0.0138,0.00011220586429810342,0.0013506421368468698,0.0013506421368468687,7.978202236298055e-06
52.3524576,258.71459991826475,0.0015092822507700064,0.04856042077284157,0.04856042077284153,2.67692690632807e-05,0.0016,5.833773011831691e-06,0.00018769880319156003,0.00018769880319155987,1.0347026828689942e-07
52.5237472,259.56107632769624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.695036800000004,260.4075527371276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.866326400000005,261.2540291465591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.037616,262.10050555599054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.2089056,262.9469819654219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.3801952,263.7934583748534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
